
(47.90925609613589,18.684154508348286)
(58.45772369005644,5.0330467132365015)
(62.913726624790485,24.85522969076885)
(85.6316917758154,4.448105075609661)
(74.99919462344289,14.612413757312027)
(97.6047933030053,6.948874170928335)
(88.87684988839379,17.89603150161163)
(79.11800568022042,29.321886473870336)
(89.21593602461849,20.860671226253473)
(91.19335456732193,24.750464300138844)
(89.35846175668124,20.953055224740936)
(96.70733626374061,21.92198385851242)
(50.08435389527216,46.706145307977636)
(66.58739783594012,36.04340403497906)
(58.38479360065065,39.51673913580822)
(48.10736656036792,55.55586681289611)
(49.67301834457217,52.21496266472619)
(67.49604017436013,51.30605898884514)
(69.43771855005767,57.926620416382775)
(72.05992474725034,49.57891967847735)
(79.71816468568795,46.95084134198922)
(81.09987524729749,41.79088370124424)
(100.34164413447382,40.246021330285714)
(78.37215739360377,57.64566308369237)
(88.06119140572008,62.13607647458937)
(101.54357171094165,16.119155910866766)
(118.47964282666703,5.65453471472523)
(101.64024681786117,29.054145051779756)
(103.80579987839516,33.581528008655965)
(102.32022309260333,19.411617210702985)
(116.27529352158012,33.35607922106897)
(141.1938124363985,13.131178425969551)
(141.49308754899187,18.49451804769832)
(156.46008946985637,8.958720505988708)
(134.9756963022752,21.56374525365068)
(142.6152879224693,20.61730302815951)
(145.40313209508105,20.93382944973669)
(157.05295962241541,20.303238876984608)
(158.35275594805557,31.52483006227763)
(112.98463132461816,46.129082311543556)
(122.55955849579334,42.90983634042121)
(107.02989763593234,55.28479325123601)
(103.29768530894665,49.988745906251836)
(127.79232898737092,51.738829542757)
(128.61976602925483,58.85751032818996)
(126.93229373812491,54.500883501166925)
(144.42881183719746,46.49405119449335)
(131.73902522227996,62.08152225070046)
(159.05674085482292,62.88831831864118)
(146.6720420650499,50.46856776879787)
(47.511142105183325,65.05051855542806)
(63.696803878510366,65.16919975920166)
(72.1183949103567,75.12847542931738)
(57.3330214048419,78.19508733964054)
(65.55402212698874,81.53199848062764)
(64.39407506359768,77.64714561190007)
(61.641398291397365,80.99282996797717)
(64.29062818291538,85.09205043354928)
(82.34450166788915,76.05828676221779)
(80.45166532764199,71.26242925595432)
(98.77515218516129,71.99900384136191)
(72.69108014345471,89.80627305401885)
(100.4089775452486,86.99063841032606)
(98.70485099919276,87.30281173959844)
(99.59163415133554,90.98565923638961)
(47.054758464940676,92.38546981693855)
(42.98352101322973,96.3462405891234)
(48.206666877641396,100.14882246120044)
(62.84165831460385,104.61639735583236)
(68.0863067912874,106.00669196404641)
(59.02455095064968,98.82226245430695)
(43.459070264118395,119.24187373282427)
(46.212610273890846,110.07137506670867)
(51.1998586020747,114.53215880369567)
(49.06163695470349,109.264852059612)
(66.21843109102213,118.35015008075075)
(70.53515292155967,111.37055853461487)
(80.42845847331009,93.77808982542234)
(88.16739230479124,102.65436608274484)
(83.21385527694903,118.69168415926993)
(90.57738156448244,118.08904053587105)
(92.38536860688458,116.07790932996505)
(91.76804821850726,112.3847643563881)
