(43.748800892732,12.228700477271)
(60.51585227927,36.71555785449)
(41.125629818591,86.471179922331)
(91.057554360506,66.739662158647)
(245.14470799181,213.25034338993)
(205.80282693487,234.59556703344)
(252.37976492819,225.04982840179)
(501.29517726893,72.217484717824)
(359.95179376004,155.56966302198)
(371.08255807314,157.32077952489)
(261.45433434353,215.631099833)
(357.61484639142,198.64154736495)
(396.13914414828,130.10093101864)
(424.45607119028,141.94469444637)
(454.87013495521,188.13425353688)
(472.61893026234,177.18605382423)
(380.2382889135,191.74206743936)
(488.27502595925,201.41396428571)
(40.172973156987,262.81864129464)
(4.9368112492081,364.20975455698)
(10.207613649409,372.43199406538)
(24.423610933788,483.66521690957)
(27.274679853243,495.68196734957)
(290.5557268041,328.58779662363)
(339.51949753357,450.71310604443)
(488.65804960376,444.06106802172)
(503.47677772654,460.58591150287)
(457.13344768534,476.56856545087)
(523.04876090495,90.027626015724)
(625.95166386569,106.60943397442)
(642.65000649246,100.70498968601)
(561.975135745,154.56799344698)
(548.38564760861,168.24523503438)
(579.2808747833,160.42156976295)
(573.18309510089,176.85189826733)
(620.68381242858,209.91515523005)
(683.82855377757,219.262969182)
(786.58831407995,50.550187646668)
(846.10870903735,114.6645496039)
(916.70636595399,53.214247977461)
(941.40402624496,60.224829403788)
(839.86290177697,131.05623709599)
(816.97399729536,156.70978461984)
(851.11617703136,177.25146251137)
(877.63569452038,219.46441277837)
(871.87030255043,205.63656807162)
(921.63740408217,186.71702738279)
(968.86607335734,239.33836463296)
(766.29704667036,282.55182081533)
(791.44113556782,315.1295879726)
(768.0973975929,357.70441626604)
(852.81289739665,366.54217495795)
(909.34044411422,275.10411731671)
(976.79082848308,363.01298107952)
(790.77447684099,395.70669114483)
(839.91647648621,453.34566926413)
(896.67049972046,376.23615977458)
(909.75034434476,400.52650922608)
(880.335385136,411.36872507649)
(909.41478478555,461.58419940648)
(63.362133066339,560.84087450143)
(90.46921921031,558.44782621947)
(70.831956017684,575.1084899847)
(197.70936444388,554.47103692334)
(142.41808167166,585.36355426738)
(171.8473653299,606.56759912826)
(32.492173848903,714.73981603968)
(26.708639339408,740.50790830539)
(175.39499214357,675.29252130878)
(142.33311827496,716.00377641386)
(208.46071448105,731.26760517725)
(476.0481733056,536.36199686321)
(267.47181917656,698.8939529424)
(389.25784207194,730.43818216884)
(5.684641627448,764.87306486809)
(8.6939588034032,753.14521208086)
(55.966654535833,846.3366672971)
(201.60006106952,751.50298420084)
(165.8073946083,855.86788609152)
(231.97695515723,816.55383008185)
(247.94171483812,853.5366500749)
(71.461393804504,906.71166021224)
(90.703596031621,897.26387215278)
(120.30115276543,890.08353016297)
(97.71868211437,981.3084516387)
(89.263167271047,988.55635757351)
(93.87547721382,987.8490397827)
(209.47156187588,904.53030680238)
(225.3205629598,880.53441200151)
(131.58043617689,939.46244707772)
(188.32117842851,966.85064358118)
(179.61912094272,998.19650643142)
(272.65552986258,838.73033376398)
(362.91269960064,830.28838282884)
(421.11321572359,793.38584081055)
(434.14805454302,784.86461243586)
(443.91409192277,758.60823808592)
(433.3900657163,863.89829668119)
(501.54866607932,825.94512366128)
(462.57830438883,848.83743970834)
(299.15178880987,943.76534680033)
(299.37995823444,959.84999803214)
(271.62913579383,994.30136971097)
(339.6300563573,983.75898749743)
(395.98866082262,900.29591456675)
